2020/02/02 13:16:45.484770 lucky, code=2477, gift=0, name=Mate30Pro 5G, link=, data=, left=19800 
2020/02/02 13:16:45.485765 lucky, code=705, gift=0, name=Mate30Pro 5G, link=, data=, left=19799 
2020/02/02 13:16:45.485765 lucky, code=705, gift=0, name=Mate30Pro 5G, link=, data=, left=19798 
2020/02/02 13:16:45.485765 lucky, code=705, gift=0, name=Mate30Pro 5G, link=, data=, left=19797 
2020/02/02 13:16:45.485765 lucky, code=705, gift=0, name=Mate30Pro 5G, link=, data=, left=19796 
2020/02/02 13:16:45.485765 lucky, code=705, gift=0, name=Mate30Pro 5G, link=, data=, left=19795 
2020/02/02 13:16:45.485765 lucky, code=705, gift=0, name=Mate30Pro 5G, link=, data=, left=19794 
2020/02/02 13:16:45.485765 lucky, code=705, gift=0, name=Mate30Pro 5G, link=, data=, left=19793 
2020/02/02 13:16:45.485765 lucky, code=705, gift=0, name=Mate30Pro 5G, link=, data=, left=19792 
2020/02/02 13:16:45.486762 lucky, code=8932, gift=0, name=Mate30Pro 5G, link=, data=, left=19791 
2020/02/02 13:16:45.486762 lucky, code=8932, gift=0, name=Mate30Pro 5G, link=, data=, left=19790 
2020/02/02 13:16:45.486762 lucky, code=8932, gift=0, name=Mate30Pro 5G, link=, data=, left=19789 
2020/02/02 13:16:45.486762 lucky, code=8932, gift=0, name=Mate30Pro 5G, link=, data=, left=19788 
2020/02/02 13:16:45.486762 lucky, code=8932, gift=0, name=Mate30Pro 5G, link=, data=, left=19787 
2020/02/02 13:16:45.487762 lucky, code=3559, gift=0, name=Mate30Pro 5G, link=, data=, left=19786 
2020/02/02 13:16:45.487762 lucky, code=3559, gift=0, name=Mate30Pro 5G, link=, data=, left=19785 
2020/02/02 13:16:45.487762 lucky, code=3559, gift=0, name=Mate30Pro 5G, link=, data=, left=19784 
2020/02/02 13:16:45.487762 lucky, code=3559, gift=0, name=Mate30Pro 5G, link=, data=, left=19783 
2020/02/02 13:16:45.487762 lucky, code=3559, gift=0, name=Mate30Pro 5G, link=, data=, left=19782 
2020/02/02 13:16:45.488757 lucky, code=3559, gift=0, name=Mate30Pro 5G, link=, data=, left=19781 
2020/02/02 13:16:45.488757 lucky, code=294, gift=0, name=Mate30Pro 5G, link=, data=, left=19780 
2020/02/02 13:16:45.488757 lucky, code=294, gift=0, name=Mate30Pro 5G, link=, data=, left=19779 
2020/02/02 13:16:45.488757 lucky, code=294, gift=0, name=Mate30Pro 5G, link=, data=, left=19778 
2020/02/02 13:16:45.488757 lucky, code=294, gift=0, name=Mate30Pro 5G, link=, data=, left=19777 
2020/02/02 13:16:45.488757 lucky, code=294, gift=0, name=Mate30Pro 5G, link=, data=, left=19776 
2020/02/02 13:16:45.489754 lucky, code=2476, gift=0, name=Mate30Pro 5G, link=, data=, left=19775 
2020/02/02 13:16:45.489754 lucky, code=2476, gift=0, name=Mate30Pro 5G, link=, data=, left=19774 
2020/02/02 13:16:45.489754 lucky, code=2476, gift=0, name=Mate30Pro 5G, link=, data=, left=19773 
2020/02/02 13:16:45.489754 lucky, code=2476, gift=0, name=Mate30Pro 5G, link=, data=, left=19772 
2020/02/02 13:16:45.489754 lucky, code=2476, gift=0, name=Mate30Pro 5G, link=, data=, left=19771 
2020/02/02 13:16:45.490752 lucky, code=3643, gift=0, name=Mate30Pro 5G, link=, data=, left=19770 
2020/02/02 13:16:45.490752 lucky, code=3643, gift=0, name=Mate30Pro 5G, link=, data=, left=19769 
2020/02/02 13:16:45.490752 lucky, code=3643, gift=0, name=Mate30Pro 5G, link=, data=, left=19768 
2020/02/02 13:16:45.490752 lucky, code=3643, gift=0, name=Mate30Pro 5G, link=, data=, left=19767 
2020/02/02 13:16:45.491749 lucky, code=3643, gift=0, name=Mate30Pro 5G, link=, data=, left=19766 
2020/02/02 13:16:45.491749 lucky, code=3436, gift=0, name=Mate30Pro 5G, link=, data=, left=19765 
2020/02/02 13:16:45.491749 lucky, code=3436, gift=0, name=Mate30Pro 5G, link=, data=, left=19764 
2020/02/02 13:16:45.491749 lucky, code=3436, gift=0, name=Mate30Pro 5G, link=, data=, left=19763 
2020/02/02 13:16:45.491749 lucky, code=3436, gift=0, name=Mate30Pro 5G, link=, data=, left=19762 
2020/02/02 13:16:45.491749 lucky, code=3436, gift=0, name=Mate30Pro 5G, link=, data=, left=19761 
2020/02/02 13:16:45.492747 lucky, code=3436, gift=0, name=Mate30Pro 5G, link=, data=, left=19760 
2020/02/02 13:16:45.492747 lucky, code=5762, gift=0, name=Mate30Pro 5G, link=, data=, left=19759 
2020/02/02 13:16:45.492747 lucky, code=5762, gift=0, name=Mate30Pro 5G, link=, data=, left=19758 
2020/02/02 13:16:45.492747 lucky, code=5762, gift=0, name=Mate30Pro 5G, link=, data=, left=19757 
2020/02/02 13:16:45.492747 lucky, code=5762, gift=0, name=Mate30Pro 5G, link=, data=, left=19756 
